Pos.;Squadra;PG;V;N;P;Rf;Rs;DR;Pt;Ultime 5;Spettatori;Miglior marcatore della squadra;Portiere
1;Inter;38;28;7;3;89;35;54;91;V V V P V;167;Romelu Lukaku - 24;Samir Handanović
2;Milan;38;24;7;7;74;41;33;79;V V V N V;105;Zlatan Ibrahimović - 15;Gianluigi Donnarumma
3;Atalanta;38;23;9;6;90;47;43;78;N V V V P;111;Luis Muriel - 22;Pierluigi Gollini
4;Juventus;38;23;9;6;77;38;39;78;V P V V V;105;Cristiano Ronaldo - 29;Wojciech Szczęsny
5;Napoli;38;24;5;9;86;41;45;77;N V V V N;105;Lorenzo Insigne - 19;Alex Meret
6;Lazio;38;21;5;12;61;55;6;68;P V P N P;167;Ciro Immobile - 20;Pepe Reina
7;Roma;38;18;8;12;68;58;10;62;P V P V N;105;Henrikh Mkhitaryan - 13;Pau López
8;Sassuolo;38;17;11;10;64;56;8;62;N V P V V;134;Domenico Berardi - 17;Andrea Consigli
9;Sampdoria;38;15;7;16;52;54;-2;52;V P N V V;105;Fabio Quagliarella - 13;Emil Audero
10;Hellas Verona;38;11;12;15;46;48;-2;45;N N P N N;647;Antonín Barák - 7;Marco Silvestri
11;Genoa;38;10;12;16;47;58;-11;42;P P V P V;56;Mattia Destro - 11;Mattia Perin
12;Bologna;38;10;11;17;51;65;-14;41;N N P N P;111;Roberto Soriano - 9;Łukasz Skorupski
13;Fiorentina;38;9;13;16;47;59;-12;40;N V N P N;105;Dušan Vlahović - 21;Bartłomiej Drągowski
14;Udinese;38;10;10;18;42;58;-16;40;P N P P P;167;Rodrigo De Paul - 9;Juan Musso
15;Spezia;38;9;12;17;52;72;-20;39;N P N V N;105;M'Bala Nzola - 11;Ivan Provedel
16;Cagliari;38;9;10;19;43;59;-16;37;N V N N P;105;João Pedro - 16;Alessio Cragno
17;Torino;38;7;16;15;50;69;-19;37;N P P N N;105;Andrea Belotti - 13;Salvatore Sirigu
18;Benevento;38;7;12;19;40;75;-35;33;P P P N N;167;Gianluca Lapadula - 8;Lorenzo Montipò
19;Crotone;38;6;5;27;45;92;-47;23;P P V N N;53;Simeon Nwankwo - 20;Alex Cordaz
20;Parma;38;3;11;24;39;83;-44;20;P P P P P;167;Juraj Kucka Hernani - 7;Luigi Sepe
